tracer,class,efficiency,comp,passed,observed,targets
BGS,BGS,0.989,0.636,0.046608687708882476,0.03721497541668127,476971.52959281654
LRG1,LRG,0.991,0.693,0.07875039246175158,0.06275180537955666,738116.3516380469
LRG2,LRG,0.991,0.693,0.11991642603705834,0.0955547266909724,1123959.7939900665
LRG3,LRG,0.991,0.693,0.13357634761772416,0.10643955803890853,1251992.3175826306
ELG1,ELG,0.727,0.352,0.1578958488460265,0.17150763339363148,3971665.155683382
ELG2,ELG,0.727,0.352,0.21993502184969146,0.23889503982210902,5532180.0362636
QSO,QSO,0.668,0.874,0.1330838770575987,0.1573244183145175,1467291.9607010235
Lya QSO,QSO,0.668,0.874,0.11023339842126677,0.13031184294362308,1215358.1852313678
