zmid,zlow,zhigh,nbar_desi_nx,S1_weight,w_fkp_mean,p0_eff,nbar_total
0.8100251164269204,0.8,0.8200000000000001,0.00021467492820361928,780548.8020717273,0.2920626593966756,11303.49814837992,0.00021467492820361928
0.8300303120954299,0.8200000000000001,0.8400000000000001,0.00022674534402013867,846011.3687994345,0.2920550391838016,10695.069388350164,0.00022674534402013867
0.8500081603257718,0.8400000000000001,0.8600000000000001,0.00024626599178631064,942597.0499695993,0.2893200408960161,9978.020298179488,0.00024626599178631064
0.8699771388479753,0.8600000000000001,0.88,0.0002517828307165177,986440.8430598953,0.2940031278796534,9539.010330576197,0.0002517828307165177
0.8899569705262264,0.88,0.9,0.00025285461380666554,1009462.4964060322,0.300828877720985,9196.070215861722,0.00025285461380666554
0.9099739904340932,0.9,0.92,0.00025832877346839946,1051282.1978280907,0.3067029167891116,8756.532926841683,0.00025832877346839946
0.9299454545764012,0.92,0.94,0.00026531492273886085,1099406.9658552408,0.3119816776623776,8316.273577183896,0.00026531492273886085
0.9499568418501002,0.94,0.96,0.0002575318650035788,1087592.3404411452,0.32401305665478913,8106.155894411249,0.0002575318650035788
0.969959185923956,0.96,0.98,0.0002510248503465665,1071461.9479799306,0.33909893768736055,7766.932532721429,0.0002510248503465665
0.9900067929670724,0.98,1.0,0.000251904104804678,1091712.1539594305,0.3495364370751374,7389.946343066325,0.000251904104804678
1.0099572468433196,1.0,1.02,0.0002545379295095807,1123168.3510694245,0.3554366188293954,7124.591291734244,0.0002545379295095807
1.029822113030413,1.02,1.04,0.00024410458950823585,1088791.9909505122,0.3713775436294438,6933.370736145821,0.00024410458950823585
1.0500776766062394,1.04,1.06,0.00023203913370024444,1041705.5154125552,0.387754354537774,6807.181023170351,0.00023203913370024444
1.0699572438403613,1.06,1.08,0.00022678914567683605,1033975.6752006984,0.3993054539072282,6632.713759588583,0.00022678914567683605
1.0899297301934152,1.08,1.1,0.00021994492574191874,1013306.9872807523,0.41103518131952105,6514.14510168919,0.00021994492574191874
