zmid,zlow,zhigh,slice_fraction,nbar_file,Nbin_file,Vol_bin_file,source_file,file_area_deg2
0.6100725714514204,0.6,0.62,0.08747816457105416,0.0003799195767858459,68199.95970110955,179511569.99617496,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.6300368549153117,0.62,0.64,0.08845594541152775,0.00036867342456258905,68962.25980472742,187055142.0584421,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.6500239388778704,0.64,0.66,0.09063419005379621,0.00036324966128781206,70660.46869548669,194523150.9507192,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.6699902813237594,0.66,0.68,0.09306065756694473,0.0003593333952809776,72552.19776209697,201907751.17176464,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.6900290047039089,0.68,0.7,0.0965515271578692,0.000359813996567632,75273.75881210619,209201864.10246396,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.7100059953154207,0.7,0.72,0.09672698108698076,0.00034847896693945775,75410.54667172217,216399134.0252781,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.7300574888614956,0.72,0.74,0.10023005163719093,0.0003496365001419761,78141.61986611257,223493885.31912938,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.7500476304663962,0.74,0.76,0.10840497959282298,0.0003666894423282811,84514.97897655351,230481080.77486157,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.7701281897028021,0.76,0.78,0.11461787747022224,0.0003764749523142385,89358.69497063535,237356282.06162536,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
0.79015047896374,0.78,0.8,0.12383962545159109,0.0003955018629445915,96548.1786982266,244115610.42824388,"LRG_{NGC,SGC}_clustering.dat.fits",5740.0
