zmid,zlow,zhigh,nbar_desi_nx,S1_weight,w_fkp_mean,p0_eff,nbar_total
0.8099188855100111,0.8,0.8200000000000001,0.0003925126773403389,1262461.4598447902,0.20304045885685393,10000.000000000011,0.0003925126773403389
0.829978973269028,0.8200000000000001,0.8400000000000001,0.0003707962679703531,1221446.9797230845,0.212406101754182,9999.99999999999,0.0003707962679703531
0.8499608706919214,0.8400000000000001,0.8600000000000001,0.0003479423672288949,1174731.5712080447,0.22324300471649913,9999.999999999995,0.0003479423672288949
0.8699214057588697,0.8600000000000001,0.88,0.00031924561015384483,1102619.6860777533,0.2385236662664265,10000.000000000002,0.00031924561015384483
0.8898836691003025,0.88,0.9,0.0002928440535940532,1032609.1346086998,0.2545539358051106,9999.999999999996,0.0002928440535940532
0.9098269916392262,0.9,0.92,0.0002622475601973748,944733.6643954043,0.27605430922851165,10000.0,0.0002622475601973748
0.9299248666217343,0.92,0.94,0.00023102062851616367,846870.0410115449,0.30209597646001984,9999.999999999995,0.00023102062851616367
0.9498645853677448,0.94,0.96,0.0002053279224263827,768267.2033054286,0.3275167210562306,9999.999999999998,0.0002053279224263827
0.969795541211764,0.96,0.98,0.00017099384982448586,648379.6156252453,0.36901206453492136,9999.999999999998,0.00017099384982448586
0.9897736109695988,0.98,1.0,0.00013887015805226453,535981.75379655,0.41863747575417154,10000.000000000007,0.00013887015805226453
1.0098165367749972,1.0,1.02,0.00011623373748024352,455039.96027413604,0.46246252395806947,10000.0,0.00011623373748024352
1.0297362536133703,1.02,1.04,9.447172717920133e-05,374645.5422120972,0.514213564359678,10000.0,9.447172717920133e-05
1.0497555578471869,1.04,1.06,7.895461419695316e-05,318436.25376007013,0.5588009029481765,10000.000000000002,7.895461419695316e-05
1.069766377512951,1.06,1.08,6.202625150203397e-05,252355.16131316975,0.61718393823821,10000.0,6.202625150203397e-05
1.089718670467298,1.08,1.1,5.006320575104057e-05,205680.61407012912,0.6663858705371327,10000.0,5.006320575104057e-05
