zmid,zlow,zhigh,slice_fraction,nbar_file,Nbin_file,Vol_bin_file,source_file,file_area_deg2
0.1107538968572378,0.1,0.12,0.014541875350449367,0.0003270840014184662,4365.010613628228,13345228.120906169,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.1305372715548477,0.12,0.14,0.022050593600748392,0.00036274996174099803,6618.890121424065,18246425.41561431,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.150322201451075,0.14,0.16,0.027658617563505933,0.0003491072950177219,8302.24137626491,23781346.006658092,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.1703254805754149,0.16,0.18,0.0350235851107776,0.0003515971376099093,10512.971473870572,29900617.352393024,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.1901480145461179,0.18,0.2,0.042288646271561925,0.0003472369064343536,12693.712837088338,36556346.98349132,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.2101689025537938,0.2,0.22,0.05017632769269788,0.00034463571924040555,15061.345091556306,43702217.29991385,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.2300869126558241,0.22,0.24,0.05793030949927381,0.0003390063702713645,17388.844954394714,51293564.0131938,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.2502152716052046,0.24,0.26,0.06333839521839763,0.0003206780629343794,19012.181078140078,59287438.94786016,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.270061754450601,0.26,0.28,0.07372285078500611,0.000327149561315056,22129.265888222435,67642657.99186327,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.2900994781998458,0.28,0.3,0.08027048943272111,0.0003157063915009565,24094.659725173125,76319835.05503443,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.3101339741809537,0.3,0.32,0.08605696617812293,0.0003028981226093111,25831.57685590698,85281402.97926335,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.3301883107495653,0.32,0.3400000000000001,0.09619595285558279,0.0003055824307335553,28874.9796765191,94491622.4640411,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.3500546582988378,0.3400000000000001,0.3600000000000001,0.10942722123603335,0.0003160861104183714,32846.58756893894,103916579.96443821,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.3701149354751135,0.3600000000000001,0.38,0.11818350023647471,0.00031248802386899655,35474.94531865899,113524175.67698866,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
0.3900841338266494,0.38,0.4,0.12313466896864653,0.00029980450550793134,36961.12942799578,123284102.63673629,"BGS_BRIGHT-21.5_{NGC,SGC}_clustering.dat.fits",7473.0
