zmid,zlow,zhigh,nbar_desi_nx,S1_weight,sum_wwf,nbar_file
0.6100725715,0.6,0.62,0.0003840019712,884744.93,182797.796,0.0005453544723
0.6300368549,0.62,0.64,0.0003743913171,900416.95,189804.685,0.0005401127835
0.6500239389,0.64,0.66,0.0003664803898,913530.29,195834.664,0.0005280155404
0.6699902813,0.66,0.68,0.0003631257242,939179.87,202791.557,0.0005199569682
0.6900290047,0.68,0.7,0.0003626323136,971729.94,210043.681,0.0005173571753
0.7100059953,0.7,0.72,0.0003527089005,976161.98,215626.858,0.0005100210373
0.7300574889,0.72,0.74,0.0003529196818,1010761.18,223165.658,0.000507589074
0.7500476305,0.74,0.76,0.000370047404,1093933.35,232728.302,0.0005244867365
0.7701281897,0.76,0.78,0.0003799356837,1154918.27,240640.216,0.0005394970128
0.790150479,0.78,0.8,0.0003994342609,1248988.49,250080.661,0.0005735856485
